user_id,global_threshold,candidate_threshold,guarded_threshold,guarded_applied,guarded_reason,threshold_delta,validation_global_far,validation_global_frr,validation_candidate_far,validation_candidate_frr,validation_guarded_far,validation_guarded_frr,test_global_far,test_global_frr,test_naive_far,test_naive_frr,test_guarded_far,test_guarded_frr,test_global_genuine_rejects,test_naive_genuine_rejects,test_guarded_genuine_rejects,test_global_impostor_accepts,test_naive_impostor_accepts,test_guarded_impostor_accepts,genuine_trials,impostor_trials
s037,0.0586082898080349,0.11205075681209564,0.11205075681209564,True,applied,0.053442467004060745,0.025,0.0,0.0153125,0.0,0.0153125,0.0,0.02525,0.0125,0.01425,0.025,0.01425,0.025,1,2,2,101,57,57,80,4000
s051,0.0586082898080349,0.07259131222963333,0.07259131222963333,True,applied,0.013983022421598434,0.018125,0.015625,0.0153125,0.015625,0.0153125,0.015625,0.0165,0.0625,0.0145,0.0625,0.0145,0.0625,5,5,5,66,58,58,80,4000
s012,0.0586082898080349,0.07541446387767792,0.07541446387767792,True,applied,0.01680617406964302,0.018125,0.015625,0.0153125,0.03125,0.0153125,0.03125,0.014,0.0125,0.0125,0.0125,0.0125,0.0125,1,1,1,56,50,50,80,4000
s026,0.0586082898080349,0.07665692269802094,0.07665692269802094,True,applied,0.018048632889986038,0.0171875,0.0,0.0153125,0.0,0.0153125,0.0,0.0135,0.025,0.0095,0.025,0.0095,0.025,2,2,2,54,38,38,80,4000
s050,0.0586082898080349,0.06395168602466583,0.06395168602466583,True,applied,0.005343396216630936,0.0165625,0.046875,0.0153125,0.046875,0.0153125,0.046875,0.0125,0.0,0.01125,0.0,0.01125,0.0,0,0,0,50,45,45,80,4000
s007,0.0586082898080349,0.09377054870128632,0.0586082898080349,False,candidate_frr_too_high,0.0,0.02,0.046875,0.0153125,0.109375,0.02,0.046875,0.029,0.05,0.0205,0.0875,0.029,0.05,4,7,4,116,82,116,80,4000
s031,0.0586082898080349,0.07574774324893951,0.0586082898080349,False,candidate_frr_too_high,0.0,0.02,0.109375,0.0153125,0.125,0.02,0.109375,0.019,0.025,0.0155,0.0375,0.019,0.025,2,3,2,76,62,76,80,4000
s002,0.0586082898080349,0.07610154151916504,0.0586082898080349,False,candidate_frr_too_high,0.0,0.02125,0.125,0.0153125,0.125,0.02125,0.125,0.018,0.075,0.01425,0.0875,0.018,0.075,6,7,6,72,57,72,80,4000
s032,0.0586082898080349,0.07354971021413803,0.0586082898080349,False,candidate_frr_too_high,0.0,0.0184375,0.09375,0.0153125,0.09375,0.0184375,0.09375,0.0175,0.075,0.014,0.075,0.0175,0.075,6,6,6,70,56,70,80,4000
s054,0.0586082898080349,0.05671911686658859,0.0586082898080349,False,global_far_not_high,0.0,0.015,0.015625,0.0153125,0.015625,0.015,0.015625,0.01675,0.075,0.017,0.075,0.01675,0.075,6,6,6,67,68,67,80,4000
s034,0.0586082898080349,0.051833704113960266,0.0586082898080349,False,global_far_not_high,0.0,0.0140625,0.046875,0.0153125,0.046875,0.0140625,0.046875,0.0165,0.0125,0.018,0.0125,0.0165,0.0125,1,1,1,66,72,66,80,4000
s008,0.0586082898080349,0.05445666238665581,0.0586082898080349,False,global_far_not_high,0.0,0.0134375,0.046875,0.0153125,0.046875,0.0134375,0.046875,0.0155,0.0625,0.016,0.0625,0.0155,0.0625,5,5,5,62,64,62,80,4000
s021,0.0586082898080349,0.052269402891397476,0.0586082898080349,False,global_far_not_high,0.0,0.0134375,0.046875,0.0153125,0.046875,0.0134375,0.046875,0.01425,0.025,0.0155,0.0125,0.01425,0.025,2,1,2,57,62,57,80,4000
s029,0.0586082898080349,0.046835850924253464,0.0586082898080349,False,global_far_not_high,0.0,0.0125,0.0,0.0153125,0.0,0.0125,0.0,0.014,0.0375,0.0145,0.0375,0.014,0.0375,3,3,3,56,58,56,80,4000
s057,0.0586082898080349,0.04531799256801605,0.0586082898080349,False,global_far_not_high,0.0,0.0125,0.03125,0.0153125,0.03125,0.0125,0.03125,0.01375,0.025,0.01625,0.025,0.01375,0.025,2,2,2,55,65,55,80,4000
s020,0.0586082898080349,0.046134673058986664,0.0586082898080349,False,global_far_not_high,0.0,0.0109375,0.078125,0.0153125,0.078125,0.0109375,0.078125,0.01325,0.05,0.0165,0.05,0.01325,0.05,4,4,4,53,66,53,80,4000
s048,0.0586082898080349,0.04114442318677902,0.0586082898080349,False,global_far_not_high,0.0,0.0121875,0.046875,0.0153125,0.046875,0.0121875,0.046875,0.0115,0.075,0.01375,0.0625,0.0115,0.075,6,5,6,46,55,46,80,4000
s027,0.0586082898080349,0.032486580312252045,0.0586082898080349,False,global_far_not_high,0.0,0.01,0.03125,0.0153125,0.03125,0.01,0.03125,0.01125,0.0,0.0165,0.0,0.01125,0.0,0,0,0,45,66,45,80,4000
s046,0.0586082898080349,0.04071059823036194,0.0586082898080349,False,global_far_not_high,0.0,0.0109375,0.03125,0.0153125,0.03125,0.0109375,0.03125,0.011,0.025,0.01225,0.025,0.011,0.025,2,2,2,44,49,44,80,4000
s018,0.0586082898080349,0.03134273737668991,0.0586082898080349,False,global_far_not_high,0.0,0.00875,0.078125,0.0153125,0.078125,0.00875,0.078125,0.0105,0.075,0.01425,0.0625,0.0105,0.075,6,5,6,42,57,42,80,4000
s003,0.0586082898080349,0.05754580348730087,0.0586082898080349,False,global_far_not_high,0.0,0.015,0.046875,0.0153125,0.046875,0.015,0.046875,0.01025,0.025,0.0105,0.025,0.01025,0.025,2,2,2,41,42,41,80,4000
s056,0.0586082898080349,0.032675065100193024,0.0586082898080349,False,global_far_not_high,0.0,0.0115625,0.046875,0.0153125,0.03125,0.0115625,0.046875,0.01,0.05,0.0165,0.05,0.01,0.05,4,4,4,40,66,40,80,4000
s016,0.0586082898080349,0.033645402640104294,0.0586082898080349,False,global_far_not_high,0.0,0.0090625,0.0,0.0153125,0.0,0.0090625,0.0,0.01,0.0125,0.01275,0.0125,0.01,0.0125,1,1,1,40,51,40,80,4000
s015,0.0586082898080349,0.03166697546839714,0.0586082898080349,False,global_far_not_high,0.0,0.0075,0.015625,0.0153125,0.015625,0.0075,0.015625,0.0095,0.05,0.018,0.025,0.0095,0.05,4,2,4,38,72,38,80,4000
s041,0.0586082898080349,0.04418635368347168,0.0586082898080349,False,global_far_not_high,0.0,0.0121875,0.015625,0.0153125,0.015625,0.0121875,0.015625,0.0095,0.0,0.0105,0.0,0.0095,0.0,0,0,0,38,42,38,80,4000
s025,0.0586082898080349,0.015278630889952183,0.0586082898080349,False,global_far_not_high,0.0,0.005625,0.0,0.0153125,0.0,0.005625,0.0,0.009,0.0,0.019,0.0,0.009,0.0,0,0,0,36,76,36,80,4000
s047,0.0586082898080349,0.053712647408246994,0.0586082898080349,False,global_far_not_high,0.0,0.0146875,0.015625,0.0153125,0.015625,0.0146875,0.015625,0.0085,0.0375,0.009,0.0375,0.0085,0.0375,3,3,3,34,36,34,80,4000
s039,0.0586082898080349,0.016860345378518105,0.0586082898080349,False,global_far_not_high,0.0,0.004375,0.0,0.0153125,0.0,0.004375,0.0,0.0085,0.0,0.0155,0.0,0.0085,0.0,0,0,0,34,62,34,80,4000
s004,0.0586082898080349,0.03213166072964668,0.0586082898080349,False,global_far_not_high,0.0,0.009375,0.0625,0.0153125,0.03125,0.009375,0.0625,0.00825,0.0625,0.0155,0.0625,0.00825,0.0625,5,5,5,33,62,33,80,4000
s013,0.0586082898080349,0.03148536756634712,0.0586082898080349,False,global_far_not_high,0.0,0.008125,0.046875,0.0153125,0.015625,0.008125,0.046875,0.00825,0.0125,0.015,0.0,0.00825,0.0125,1,0,1,33,60,33,80,4000
s035,0.0586082898080349,0.027583438903093338,0.0586082898080349,False,global_far_not_high,0.0,0.0090625,0.015625,0.0153125,0.0,0.0090625,0.015625,0.00825,0.0125,0.014,0.0125,0.00825,0.0125,1,1,1,33,56,33,80,4000
s044,0.0586082898080349,0.016892261803150177,0.0586082898080349,False,global_far_not_high,0.0,0.00625,0.015625,0.0153125,0.0,0.00625,0.015625,0.008,0.0125,0.0165,0.0,0.008,0.0125,1,0,1,32,66,32,80,4000
s040,0.0586082898080349,0.03170188143849373,0.0586082898080349,False,global_far_not_high,0.0,0.011875,0.0,0.0153125,0.0,0.011875,0.0,0.00775,0.0,0.01275,0.0,0.00775,0.0,0,0,0,31,51,31,80,4000
s011,0.0586082898080349,0.03900647908449173,0.0586082898080349,False,global_far_not_high,0.0,0.01125,0.0625,0.0153125,0.046875,0.01125,0.0625,0.0075,0.0625,0.01175,0.05,0.0075,0.0625,5,4,5,30,47,30,80,4000
s005,0.0586082898080349,0.027041342109441757,0.0586082898080349,False,global_far_not_high,0.0,0.0078125,0.03125,0.0153125,0.03125,0.0078125,0.03125,0.0075,0.025,0.01225,0.0125,0.0075,0.025,2,1,2,30,49,30,80,4000
s055,0.0586082898080349,0.016762157902121544,0.0586082898080349,False,global_far_not_high,0.0,0.0053125,0.0,0.0153125,0.0,0.0053125,0.0,0.0065,0.025,0.01575,0.0125,0.0065,0.025,2,1,2,26,63,26,80,4000
s038,0.0586082898080349,0.012871277518570423,0.0586082898080349,False,global_far_not_high,0.0,0.006875,0.0,0.0153125,0.0,0.006875,0.0,0.0065,0.0125,0.0185,0.0125,0.0065,0.0125,1,1,1,26,74,26,80,4000
s010,0.0586082898080349,0.024126581847667694,0.0586082898080349,False,global_far_not_high,0.0,0.006875,0.0,0.0153125,0.0,0.006875,0.0,0.00625,0.0,0.01125,0.0,0.00625,0.0,0,0,0,25,45,25,80,4000
s017,0.0586082898080349,0.030734116211533546,0.0586082898080349,False,global_far_not_high,0.0,0.0090625,0.015625,0.0153125,0.015625,0.0090625,0.015625,0.006,0.0,0.00975,0.0,0.006,0.0,0,0,0,24,39,24,80,4000
s030,0.0586082898080349,0.010681231506168842,0.0586082898080349,False,global_far_not_high,0.0,0.004375,0.046875,0.0153125,0.046875,0.004375,0.046875,0.005,0.0375,0.01425,0.0125,0.005,0.0375,3,1,3,20,57,20,80,4000
s053,0.0586082898080349,0.007401654496788979,0.0586082898080349,False,global_far_not_high,0.0,0.0040625,0.0,0.0153125,0.0,0.0040625,0.0,0.005,0.0,0.02175,0.0,0.005,0.0,0,0,0,20,87,20,80,4000
s033,0.0586082898080349,0.008493201807141304,0.0586082898080349,False,global_far_not_high,0.0,0.004375,0.0,0.0153125,0.0,0.004375,0.0,0.00425,0.025,0.01925,0.025,0.00425,0.025,2,2,2,17,77,17,80,4000
s049,0.0586082898080349,0.006246848031878471,0.0586082898080349,False,global_far_not_high,0.0,0.004375,0.0,0.0153125,0.0,0.004375,0.0,0.00425,0.0,0.0175,0.0,0.00425,0.0,0,0,0,17,70,17,80,4000
s042,0.0586082898080349,0.014977501705288887,0.0586082898080349,False,global_far_not_high,0.0,0.005625,0.015625,0.0153125,0.0,0.005625,0.015625,0.004,0.0,0.01575,0.0,0.004,0.0,0,0,0,16,63,16,80,4000
s036,0.0586082898080349,0.0058334143832325935,0.0586082898080349,False,global_far_not_high,0.0,0.0034375,0.0,0.0153125,0.0,0.0034375,0.0,0.00375,0.0,0.01375,0.0,0.00375,0.0,0,0,0,15,55,15,80,4000
s024,0.0586082898080349,0.010232587344944477,0.0586082898080349,False,global_far_not_high,0.0,0.0040625,0.0,0.0153125,0.0,0.0040625,0.0,0.00325,0.0,0.014,0.0,0.00325,0.0,0,0,0,13,56,13,80,4000
s028,0.0586082898080349,0.01027507334947586,0.0586082898080349,False,global_far_not_high,0.0,0.0040625,0.0,0.0153125,0.0,0.0040625,0.0,0.00325,0.0,0.01375,0.0,0.00325,0.0,0,0,0,13,55,13,80,4000
s019,0.0586082898080349,0.011193380691111088,0.0586082898080349,False,global_far_not_high,0.0,0.0053125,0.015625,0.0153125,0.0,0.0053125,0.015625,0.00275,0.0125,0.01325,0.0,0.00275,0.0125,1,0,1,11,53,11,80,4000
s043,0.0586082898080349,0.006785528734326363,0.0586082898080349,False,global_far_not_high,0.0,0.0025,0.015625,0.0153125,0.0,0.0025,0.015625,0.00175,0.0125,0.0155,0.0,0.00175,0.0125,1,0,1,7,62,7,80,4000
s022,0.0586082898080349,0.004444044549018145,0.0586082898080349,False,global_far_not_high,0.0,0.0034375,0.015625,0.0153125,0.0,0.0034375,0.015625,0.00175,0.0,0.01675,0.0,0.00175,0.0,0,0,0,7,67,7,80,4000
s052,0.0586082898080349,0.0020634187385439873,0.0586082898080349,False,global_far_not_high,0.0,0.0015625,0.015625,0.0153125,0.0,0.0015625,0.015625,0.0015,0.0,0.01775,0.0,0.0015,0.0,0,0,0,6,71,6,80,4000
